text,name,ratings,no_of_ratings,discount_price,actual_price,category_source
"Aqualogica Glow+ Dewy Sunscreen SPF 50 PA+++ For UVA/B & Blue Light Protection, for Glowing & Well Protected Skin, Cream, 50G stores Amazon Fashion","Aqualogica Glow+ Dewy Sunscreen SPF 50 PA+++ For UVA/B & Blue Light Protection, for Glowing & Well Protected Skin, Cream, 50G",4.2,"3,628",₹351,₹399,Amazon Fashion.csv
MARVIK Soft Silicone Adjustable Band Strap Compatible for Oneplus Smart Band & Oppo Smart Band stores Amazon Fashion,MARVIK Soft Silicone Adjustable Band Strap Compatible for Oneplus Smart Band & Oppo Smart Band,3.9,291,₹249,₹999,Amazon Fashion.csv
108 Panchatantra Stories for Children (Illustrated) - Story Book for Kids - Moral Stories - Bedtime Stories - 3 Years to 1... stores Amazon Fashion,108 Panchatantra Stories for Children (Illustrated) - Story Book for Kids - Moral Stories - Bedtime Stories - 3 Years to 1...,4.4,"2,950",₹125,₹160,Amazon Fashion.csv
Black and White and Blue: Adult Cinema From the Victorian Age to the VCR stores Amazon Fashion,Black and White and Blue: Adult Cinema From the Victorian Age to the VCR,4.2,8,,₹584.16,Amazon Fashion.csv
SAFARI 15 Ltrs Sea Blue Casual/School/College Backpack (DAYPACKNEO15CBSEB) stores Amazon Fashion,SAFARI 15 Ltrs Sea Blue Casual/School/College Backpack (DAYPACKNEO15CBSEB),4.0,"17,985",₹299,₹799,Amazon Fashion.csv
"The Derma Co 1% Hyaluronic Sunscreen Aqua Ultra Light Gel with SPF 50 PA++++ For Broad Spectrum, UV A, UV B & Blue Light P... stores Amazon Fashion","The Derma Co 1% Hyaluronic Sunscreen Aqua Ultra Light Gel with SPF 50 PA++++ For Broad Spectrum, UV A, UV B & Blue Light P...",4.3,"5,830",₹448,₹499,Amazon Fashion.csv
"Noise ColorFit Pulse Grand Smart Watch with 1.69""(4.29cm) HD Display, 60 Sports Modes, 150 Watch Faces, Fast Charge, Spo2,... stores Amazon Fashion","Noise ColorFit Pulse Grand Smart Watch with 1.69""(4.29cm) HD Display, 60 Sports Modes, 150 Watch Faces, Fast Charge, Spo2,...",4.0,"99,745","₹1,299","₹3,999",Amazon Fashion.csv
New Fastrack Reflex Beat+ 1.69” UltraVU Display|500 Nits Brightness|60 Sports Modes|24*7 Heart Rate Monitor|SpO2 Monitor|S... stores Amazon Fashion,New Fastrack Reflex Beat+ 1.69” UltraVU Display|500 Nits Brightness|60 Sports Modes|24*7 Heart Rate Monitor|SpO2 Monitor|S...,4.0,598,"₹1,695","₹3,495",Amazon Fashion.csv
"Soundproof Earmuffs, Anti-Noise Earmuffs Lightweight Compact Adjustment Foldable for Worker for for Shooter(Green) stores Amazon Fashion","Soundproof Earmuffs, Anti-Noise Earmuffs Lightweight Compact Adjustment Foldable for Worker for for Shooter(Green)",,,"₹3,619","₹7,238",Amazon Fashion.csv
"ZORBES® Dust Cover for SONY PS5 Console, Dust Proof Cover Protective Case Anti Scratch Waterproof Case for Sony PlayStatio... stores Amazon Fashion","ZORBES® Dust Cover for SONY PS5 Console, Dust Proof Cover Protective Case Anti Scratch Waterproof Case for Sony PlayStatio...",3.8,10,₹939,"₹1,262",Amazon Fashion.csv
